State,District,Date,Year,Month,Avg_rainfall,Agency_name
Kerala,Kannur,2025-02-20,2025,02,0.0,NRSC VIC MODEL
Kerala,Kannur,2025-02-21,2025,02,0.0200524299,NRSC VIC MODEL
Kerala,Kannur,2025-02-22,2025,02,0.0002566006,NRSC VIC MODEL
Kerala,Kannur,2025-02-23,2025,02,0.638122402,NRSC VIC MODEL
Kerala,Kannur,2025-02-26,2025,02,0.0,NRSC VIC MODEL
Kerala,Kannur,2025-03-02,2025,03,0.2596506757,NRSC VIC MODEL
Kerala,Kannur,2025-03-04,2025,03,0.2010379824,NRSC VIC MODEL
Kerala,Kannur,2025-03-09,2025,03,0.0,NRSC VIC MODEL
Kerala,Kannur,2025-03-10,2025,03,0.0,NRSC VIC MODEL
Kerala,Kannur,2025-03-11,2025,03,0.0,NRSC VIC MODEL
Kerala,Kannur,2025-03-14,2025,03,0.2243025969,NRSC VIC MODEL
Kerala,Kannur,2025-03-25,2025,03,0.0847766519,NRSC VIC MODEL
Kerala,Kannur,2025-03-27,2025,03,4.1688937256,NRSC VIC MODEL
Kerala,Kannur,2025-03-28,2025,03,0.0075951812,NRSC VIC MODEL
Kerala,Kannur,2025-03-31,2025,03,0.0514236745,NRSC VIC MODEL
Kerala,Kannur,2025-04-03,2025,04,0.5091190689,NRSC VIC MODEL
Kerala,Kannur,2025-04-07,2025,04,0.003301281,NRSC VIC MODEL
Kerala,Kannur,2025-04-08,2025,04,0.0059096172,NRSC VIC MODEL
Kerala,Kannur,2025-04-12,2025,04,5.0018357486,NRSC VIC MODEL
Kerala,Kannur,2025-04-17,2025,04,0.0,NRSC VIC MODEL
Kerala,Kannur,2025-04-20,2025,04,0.1880332754,NRSC VIC MODEL
Kerala,Kannur,2025-05-05,2025,05,1.5279466067,NRSC VIC MODEL
Kerala,Kannur,2025-06-03,2025,06,6.1081828249,NRSC VIC MODEL
Kerala,Kannur,2025-06-08,2025,06,0.3458102415,NRSC VIC MODEL
Kerala,Kannur,2025-06-12,2025,06,14.8792616956,NRSC VIC MODEL
Kerala,Kannur,2025-06-17,2025,06,68.9193795551,NRSC VIC MODEL
Kerala,Kannur,2025-06-23,2025,06,76.5257496808,NRSC VIC MODEL
Kerala,Kannur,2025-06-29,2025,06,24.0614497926,NRSC VIC MODEL
Kerala,Kasaragod,2025-01-04,2025,01,0.0,NRSC VIC MODEL
Kerala,Kasaragod,2025-01-13,2025,01,0.0,NRSC VIC MODEL
Kerala,Kasaragod,2025-01-17,2025,01,0.0002917728,NRSC VIC MODEL
Kerala,Kasaragod,2025-01-18,2025,01,0.0,NRSC VIC MODEL
Kerala,Kasaragod,2025-01-21,2025,01,0.0,NRSC VIC MODEL
Kerala,Kasaragod,2025-01-23,2025,01,0.0,NRSC VIC MODEL
Kerala,Kasaragod,2025-01-25,2025,01,0.0,NRSC VIC MODEL
Kerala,Kasaragod,2025-01-31,2025,01,0.0,NRSC VIC MODEL
Kerala,Kasaragod,2025-02-07,2025,02,0.0,NRSC VIC MODEL
Kerala,Kasaragod,2025-02-08,2025,02,0.0,NRSC VIC MODEL
Kerala,Kasaragod,2025-02-21,2025,02,8.1268e-06,NRSC VIC MODEL
Kerala,Kasaragod,2025-02-24,2025,02,0.00041365,NRSC VIC MODEL
Kerala,Kasaragod,2025-02-26,2025,02,0.0,NRSC VIC MODEL
Kerala,Kasaragod,2025-03-03,2025,03,0.0221278096,NRSC VIC MODEL
Kerala,Kasaragod,2025-03-04,2025,03,0.2851369191,NRSC VIC MODEL
Kerala,Kasaragod,2025-03-08,2025,03,0.0,NRSC VIC MODEL
Kerala,Kasaragod,2025-03-10,2025,03,0.0,NRSC VIC MODEL
Kerala,Kasaragod,2025-03-13,2025,03,0.9067151204,NRSC VIC MODEL
Kerala,Kasaragod,2025-03-15,2025,03,0.0987109908,NRSC VIC MODEL
Kerala,Kasaragod,2025-03-16,2025,03,0.0012385428,NRSC VIC MODEL
Kerala,Kasaragod,2025-03-20,2025,03,0.1043146508,NRSC VIC MODEL
Kerala,Kasaragod,2025-04-05,2025,04,2.9780491721,NRSC VIC MODEL
Kerala,Kasaragod,2025-04-14,2025,04,0.0028041471,NRSC VIC MODEL
Kerala,Kasaragod,2025-04-21,2025,04,7.2753885109,NRSC VIC MODEL
Kerala,Kasaragod,2025-04-29,2025,04,0.1339121867,NRSC VIC MODEL
Kerala,Kasaragod,2025-04-30,2025,04,6.2203581962,NRSC VIC MODEL
Kerala,Kasaragod,2025-05-02,2025,05,0.0411828517,NRSC VIC MODEL
Kerala,Kasaragod,2025-05-04,2025,05,3.6939623331,NRSC VIC MODEL
Kerala,Kasaragod,2025-05-08,2025,05,0.1198292284,NRSC VIC MODEL
Kerala,Kasaragod,2025-05-18,2025,05,14.8263450809,NRSC VIC MODEL
Kerala,Kasaragod,2025-05-19,2025,05,9.4372811538,NRSC VIC MODEL
Kerala,Kasaragod,2025-05-26,2025,05,97.4518693948,NRSC VIC MODEL
Kerala,Kasaragod,2025-06-03,2025,06,9.1808924394,NRSC VIC MODEL
Kerala,Kasaragod,2025-06-08,2025,06,0.7943017242,NRSC VIC MODEL
Kerala,Kasaragod,2025-06-13,2025,06,21.5965935335,NRSC VIC MODEL
Kerala,Kasaragod,2025-06-16,2025,06,78.3799054414,NRSC VIC MODEL
